Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,JobLevel,Position,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,OverTime,PerformanceRating,RelationshipSatisfaction,StandardHours,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion
41,Yes,Travel_Rarely,Sales,1,2,Life Sciences,2,Female,2,Sales Executive,4,Single,5993,8,Yes,3,1,40,6,4,0
49,No,Travel_Frequently,Research & Development,8,1,Life Sciences,3,Male,2,Research Scientist,2,Married,5130,1,No,4,4,40,10,7,1
37,Yes,Travel_Rarely,Research & Development,2,2,Other,4,Male,1,Laboratory Technician,3,Single,2090,6,Yes,3,2,40,0,0,0
33,No,Travel_Frequently,Research & Development,3,4,Life Sciences,4,Female,1,Research Scientist,3,Married,2909,1,Yes,3,3,40,8,7,3
27,No,Travel_Rarely,Research & Development,2,1,Medical,1,Male,1,Laboratory Technician,2,Married,3468,9,No,3,4,40,2,2,2
32,No,Travel_Frequently,Research & Development,2,2,Life Sciences,4,Male,1,Laboratory Technician,4,Single,3068,0,No,3,3,40,7,7,3
59,No,Travel_Rarely,Research & Development,3,3,Medical,3,Female,1,Laboratory Technician,1,Married,2670,4,Yes,4,1,40,1,0,0
30,No,Travel_Rarely,Research & Development,24,1,Life Sciences,4,Male,1,Laboratory Technician,3,Divorced,2693,1,No,4,2,40,1,0,0
38,No,Travel_Frequently,Research & Development,23,3,Life Sciences,4,Male,3,Manufacturing Director,3,Single,9526,0,No,4,2,40,9,7,1
36,No,Travel_Rarely,Research & Development,27,3,Medical,3,Male,2,Healthcare Representative,3,Married,5237,6,No,3,2,40,7,7,7
35,No,Travel_Rarely,Research & Development,16,3,Medical,1,Male,1,Laboratory Technician,2,Married,2426,0,No,3,3,40,5,4,0
29,No,Travel_Rarely,Research & Development,15,2,Life Sciences,4,Female,2,Laboratory Technician,3,Single,4193,0,Yes,3,4,40,9,5,0
31,No,Travel_Rarely,Research & Development,26,1,Life Sciences,1,Male,1,Research Scientist,3,Divorced,2911,1,No,3,4,40,5,2,4
34,No,Travel_Rarely,Research & Development,19,2,Medical,2,Male,1,Laboratory Technician,4,Divorced,2661,0,No,3,3,40,2,2,1
28,Yes,Travel_Rarely,Research & Development,24,3,Life Sciences,3,Male,1,Laboratory Technician,3,Single,2028,5,Yes,3,2,40,4,2,0
29,No,Travel_Rarely,Research & Development,21,4,Life Sciences,2,Female,3,Manufacturing Director,1,Divorced,9980,1,No,3,3,40,10,9,8
32,No,Travel_Rarely,Research & Development,5,2,Life Sciences,1,Male,1,Research Scientist,2,Divorced,3298,0,Yes,3,4,40,6,2,0
22,No,Non-Travel,Research & Development,16,2,Medical,4,Male,1,Laboratory Technician,4,Divorced,2935,1,Yes,3,2,40,1,0,0
53,No,Travel_Rarely,Sales,2,4,Life Sciences,1,Female,4,Manager,4,Married,15427,2,No,3,3,40,25,8,3
38,No,Travel_Rarely,Research & Development,2,3,Life Sciences,4,Male,1,Research Scientist,4,Single,3944,5,Yes,3,3,40,3,2,1
24,No,Non-Travel,Research & Development,11,2,Other,1,Female,2,Manufacturing Director,3,Divorced,4011,0,No,3,4,40,4,2,1
36,Yes,Travel_Rarely,Sales,9,4,Life Sciences,3,Male,1,Sales Representative,1,Single,3407,7,No,4,2,40,5,3,0
34,No,Travel_Rarely,Research & Development,7,4,Life Sciences,1,Female,3,Research Director,2,Single,11994,0,No,3,3,40,12,6,2
21,No,Travel_Rarely,Research & Development,15,2,Life Sciences,3,Male,1,Research Scientist,4,Single,1232,1,No,3,4,40,0,0,0
34,Yes,Travel_Rarely,Research & Development,6,1,Medical,2,Male,1,Research Scientist,1,Single,2960,2,No,3,3,40,4,2,1
53,No,Travel_Rarely,Research & Development,5,3,Other,3,Female,5,Manager,3,Divorced,19094,4,No,3,4,40,14,13,4
32,Yes,Travel_Frequently,Research & Development,16,1,Life Sciences,2,Female,1,Research Scientist,1,Single,3919,1,Yes,4,2,40,10,2,6
42,No,Travel_Rarely,Sales,8,4,Marketing,3,Male,2,Sales Executive,2,Married,6825,0,No,3,4,40,9,7,4
44,No,Travel_Rarely,Research & Development,7,4,Medical,1,Female,3,Healthcare Representative,4,Married,10248,3,No,3,4,40,22,6,5
46,No,Travel_Rarely,Sales,2,4,Marketing,2,Female,5,Manager,1,Single,18947,3,No,3,4,40,2,2,2
33,No,Travel_Rarely,Research & Development,2,3,Medical,3,Male,1,Laboratory Technician,4,Single,2496,4,No,3,4,40,1,1,0
44,No,Travel_Rarely,Research & Development,10,4,Other,4,Male,2,Healthcare Representative,4,Married,6465,2,Yes,3,4,40,4,2,1
30,No,Travel_Rarely,Research & Development,9,2,Medical,4,Male,1,Laboratory Technician,3,Single,2206,1,No,3,1,40,10,0,1
39,Yes,Travel_Rarely,Sales,5,3,Technical Degree,4,Male,2,Sales Representative,4,Married,2086,3,No,3,3,40,1,0,0
24,Yes,Travel_Rarely,Research & Development,1,3,Medical,2,Male,1,Research Scientist,4,Married,2293,2,Yes,3,1,40,2,0,2
43,No,Travel_Rarely,Research & Development,2,2,Medical,4,Female,1,Research Scientist,3,Divorced,2645,1,No,3,4,40,5,3,1
50,Yes,Travel_Rarely,Sales,3,2,Marketing,1,Male,1,Sales Representative,3,Married,2683,1,Yes,3,3,40,3,2,0
35,No,Travel_Rarely,Sales,2,3,Marketing,4,Female,1,Sales Representative,4,Married,2014,1,No,3,1,40,2,2,2
36,No,Travel_Rarely,Research & Development,5,4,Life Sciences,2,Female,1,Research Scientist,1,Married,3419,9,Yes,3,4,40,1,1,0
33,No,Travel_Frequently,Sales,1,3,Life Sciences,3,Female,2,Sales Executive,1,Married,5376,2,No,3,1,40,5,3,1
35,No,Travel_Rarely,Research & Development,4,2,Other,3,Male,1,Laboratory Technician,4,Divorced,1951,1,No,3,3,40,1,0,0
27,No,Travel_Rarely,Research & Development,2,4,Life Sciences,4,Female,1,Laboratory Technician,1,Divorced,2341,1,No,3,4,40,1,0,0
26,Yes,Travel_Rarely,Research & Development,25,3,Life Sciences,1,Male,1,Laboratory Technician,3,Single,2293,1,No,3,3,40,1,0,0
27,No,Travel_Frequently,Sales,8,3,Life Sciences,4,Male,3,Sales Executive,3,Single,8726,1,No,3,4,40,9,8,1
30,No,Travel_Frequently,Research & Development,1,2,Medical,3,Female,2,Laboratory Technician,4,Single,4011,1,No,4,4,40,12,8,3
41,Yes,Travel_Rarely,Research & Development,12,3,Technical Degree,2,Female,5,Research Director,3,Married,19545,1,No,3,4,40,22,15,15
34,No,Non-Travel,Sales,23,4,Marketing,2,Male,2,Sales Executive,3,Single,4568,0,No,4,3,40,9,5,8
37,No,Travel_Rarely,Research & Development,19,2,Life Sciences,2,Male,1,Research Scientist,2,Married,3022,4,No,4,1,40,1,0,0
46,No,Travel_Frequently,Sales,5,4,Marketing,1,Male,2,Sales Executive,4,Single,5772,4,Yes,4,3,40,9,6,0
35,No,Travel_Rarely,Research & Development,8,1,Life Sciences,4,Male,1,Laboratory Technician,4,Married,2269,1,No,3,4,40,1,0,0
48,Yes,Travel_Rarely,Research & Development,1,2,Life Sciences,1,Male,3,Laboratory Technician,3,Single,5381,9,Yes,3,4,40,1,0,0
28,Yes,Travel_Rarely,Research & Development,5,4,Technical Degree,3,Male,1,Laboratory Technician,3,Single,3441,1,Yes,3,3,40,2,2,2
44,No,Travel_Rarely,Sales,1,5,Marketing,2,Female,2,Sales Executive,1,Divorced,5454,5,Yes,4,3,40,4,3,1
35,No,Non-Travel,Research & Development,11,2,Medical,3,Male,3,Healthcare Representative,1,Married,9884,2,Yes,3,3,40,4,0,2
26,No,Travel_Rarely,Sales,23,3,Marketing,3,Female,2,Sales Executive,4,Married,4157,7,Yes,3,3,40,2,2,0
33,No,Travel_Frequently,Research & Development,1,2,Life Sciences,1,Female,3,Research Director,4,Single,13458,1,Yes,3,3,40,15,14,8
35,No,Travel_Frequently,Sales,18,5,Life Sciences,2,Male,3,Sales Executive,1,Married,9069,1,No,4,4,40,9,8,1
35,No,Travel_Rarely,Research & Development,23,4,Medical,3,Female,1,Laboratory Technician,1,Married,4014,3,Yes,3,3,40,2,2,2
